date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:45:09	230404/230404	---M--	200	added ('OK')	image/png	etag:%225d9f72e279a0609c991f11883d3bb9f0%22	https://d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Deal_5.png	C:/Users/Sumair%20Shah/Desktop/rest/Extract/d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Deal_5.png	(from https://amalfipizza.com.au/)
23:45:12	224983/224983	---M--	200	added ('OK')	image/png	etag:%22c5fd1346a4ae060cbc82bb35ab9d917b%22	https://d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Deal_6.png	C:/Users/Sumair%20Shah/Desktop/rest/Extract/d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Deal_6.png	(from https://amalfipizza.com.au/)
23:45:16	527553/527553	---M--	200	added ('OK')	image/png	etag:%22ed849ca486061fe9b92edab5bfed5ddb%22	https://d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Deal_7.png	C:/Users/Sumair%20Shah/Desktop/rest/Extract/d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Deal_7.png	(from https://amalfipizza.com.au/)
23:45:16	143640/143640	---M--	200	added ('OK')	image/png	etag:%220e7237b9e6aa244b672d30a20e268bf9%22	https://d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Bolognese.png	C:/Users/Sumair%20Shah/Desktop/rest/Extract/d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Bolognese.png	(from https://amalfipizza.com.au/)
23:45:17	147766/147766	---M--	200	added ('OK')	image/png	etag:%22399f583bbc473e38f0a28c664ba50d1a%22	https://d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Napolitana.png	C:/Users/Sumair%20Shah/Desktop/rest/Extract/d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Napolitana.png	(from https://amalfipizza.com.au/)
23:45:18	154047/154047	---M--	200	added ('OK')	image/png	etag:%22af3352ebda3f2e5b6c95168f55799031%22	https://d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Matriciana.png	C:/Users/Sumair%20Shah/Desktop/rest/Extract/d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Matriciana.png	(from https://amalfipizza.com.au/)
23:45:19	160596/160596	---M--	200	added ('OK')	image/png	etag:%22766d0681cd1d00df233a2101300ada27%22	https://d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Pollo_Funghi.png	C:/Users/Sumair%20Shah/Desktop/rest/Extract/d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Pollo_Funghi.png	(from https://amalfipizza.com.au/)
23:45:20	160927/160927	---M--	200	added ('OK')	image/png	etag:%225008332c31467b548a5d387bc0a9b11d%22	https://d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Carbonara.png	C:/Users/Sumair%20Shah/Desktop/rest/Extract/d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Carbonara.png	(from https://amalfipizza.com.au/)
23:45:21	155462/155462	---M--	200	added ('OK')	image/png	etag:%224a09e516ba1e9585d678b97b766ec492%22	https://d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Calabrese.png	C:/Users/Sumair%20Shah/Desktop/rest/Extract/d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Calabrese.png	(from https://amalfipizza.com.au/)
23:45:22	156356/156356	---M--	200	added ('OK')	image/png	etag:%2245a26bde863d416d692ef402ae91bab8%22	https://d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Beef_Lasagne.png	C:/Users/Sumair%20Shah/Desktop/rest/Extract/d2ova09jg8x3xk.cloudfront.net/amalfipizza.com.au/rowville/uploads/Amalfi_Beef_Lasagne.png	(from https://amalfipizza.com.au/)
